previsao,verdade,porcentagem,id_cena
1,1,100,LS82260702016078
8,10,80,LS82260702016094
6,8,75,LS82260702016110
17,56,30,LS82260702016158
159,197,80,LS82260702016190
75,83,90,LS82260702016206
129,150,86,LS82260702016222
118,127,92,LS82260702016238
140,162,86,LS82260702016254
349,373,93,LS82260702016270
44,49,89,LS82260702016302
11,13,84,LS82260702016334
0,0,0,LS82260702017096
0,0,0,LS82260702017112
8,11,72,LS82260702017128
8,12,66,LS82260702017144
22,27,81,LS82260702017160
50,77,64,LS82260702017176
116,142,81,LS82260702017192
173,196,88,LS82260702017208
103,124,83,LS82260702017224
143,159,89,LS82260702017240
747,805,92,LS82260702017256
18,48,37,LS82210702016059
1,3,33,LS82210702016075
5,26,19,LS82210702016091
18,55,32,LS82210702016107
26,86,30,LS82210702016123
12,73,16,LS82210702016139
36,174,20,LS82210702016155
37,94,39,LS82210702016171
105,180,58,LS82210702016187
212,344,61,LS82210702016203
211,380,55,LS82210702016219
179,302,59,LS82210702016235
282,505,55,LS82210702016251
241,622,38,LS82210702016283
266,1204,22,LS82210702016299
36,602,5,LS82210702016331
126,663,19,LS82210702017157
79,186,42,LS82210702017173
52,126,41,LS82210702017189
71,143,49,LS82210702017205
165,265,62,LS82210702017221
112,214,52,LS82210702017237
182,357,50,LS82210702017253
275,599,45,LS82210702017269
0,2,0,LS52210672002068
234,1379,16,LS52210672003263
