previsao,verdade,porcentagem,id_cena,caso
805,805,100,rf,LS82260702017256
797,805,99,nn,LS82260702017256
797,805,99,knn,LS82260702017256
805,805,100,svm,LS82260702017256
805,805,100,nota,LS82260702017256
547,599,91,rf,LS82210702017269
532,599,88,nn,LS82210702017269
545,599,90,knn,LS82210702017269
528,599,88,svm,LS82210702017269
543,599,90,nota,LS82210702017269
1088,1102,98,rf,LS82210672017285
1085,1102,98,nn,LS82210672017285
1102,1102,100,knn,LS82210672017285
1081,1102,98,svm,LS82210672017285
1092,1102,99,nota,LS82210672017285
929,1072,86,rf,LS82210742018128
973,1072,90,nn,LS82210742018128
914,1072,85,knn,LS82210742018128
959,1072,89,svm,LS82210742018128
1008,1072,94,nota,LS82210742018128
